word,album_name,N,tf,idf,tf_idf
time,Baron Von Bullshit Rides Again,27,0.209302325581395,1.67195826941543,0.349944754063696
uh,Baron Von Bullshit Rides Again,25,0.543478260869565,1.67195826941543,0.908672972508388
kill,Baron Von Bullshit Rides Again,18,0.375,1.67195826941543,0.626984351030788
world,Baron Von Bullshit Rides Again,17,0.425,1.67195826941543,0.71058226450156
die,Baron Von Bullshit Rides Again,12,0.272727272727273,1.67195826941543,0.455988618931482
hah,Baron Von Bullshit Rides Again,12,0.923076923076923,1.67195826941543,1.54334609484502
god,Baron Von Bullshit Rides Again,11,0.171875,1.67195826941543,0.287367827555778
broke,Baron Von Bullshit Rides Again,11,0.392857142857143,1.67195826941543,0.656840748698921
told,Baron Von Bullshit Rides Again,10,0.384615384615385,1.67195826941543,0.64306087285209
emb,Baron Von Bullshit Rides Again,9,0.642857142857143,1.67195826941543,1.07483031605278
yeah,Baron Von Bullshit Rides Again,9,0.0782608695652174,1.67195826941543,0.130848908041208
car,Building Nothing Out of Something,15,0.319148936170213,2.1375053426346,0.682182556159978
live,Building Nothing Out of Something,14,0.35,2.1375053426346,0.748126869922109
uh,Building Nothing Out of Something,12,0.260869565217391,2.1375053426346,0.557610089382938
drive,Building Nothing Out of Something,11,0.733333333333333,2.1375053426346,1.56750391793204
mile,Building Nothing Out of Something,11,0.916666666666667,2.1375053426346,1.95937989741505
feel,Building Nothing Out of Something,10,0.112359550561798,2.1375053426346,0.240169139621865
hei,Building Nothing Out of Something,10,0.263157894736842,2.1375053426346,0.562501405956473
heaven,Building Nothing Out of Something,10,0.625,2.1375053426346,1.33594083914662
road,Building Nothing Out of Something,9,0.25,2.1375053426346,0.534376335658649
arctic,Building Nothing Out of Something,9,1,2.1375053426346,2.1375053426346
insid,Building Nothing Out of Something,9,0.28125,2.1375053426346,0.60117337761598
danc,Good News for People Who Love Bad News,40,0.784313725490196,1.57057587934205,1.23182421909181
time,Good News for People Who Love Bad News,36,0.27906976744186,1.57057587934205,0.438300245397782
gonna,Good News for People Who Love Bad News,33,0.28695652173913,1.57057587934205,0.450686991463372
float,Good News for People Who Love Bad News,30,0.769230769230769,1.57057587934205,1.20813529180158
dai,Good News for People Who Love Bad News,28,0.358974358974359,1.57057587934205,0.563796469507404
kill,Good News for People Who Love Bad News,25,0.520833333333333,1.57057587934205,0.818008270490653
box,Good News for People Who Love Bad News,21,0.91304347826087,1.57057587934205,1.43400406374709
hall,Good News for People Who Love Bad News,19,0.95,1.57057587934205,1.49204708537495
feel,Good News for People Who Love Bad News,17,0.191011235955056,1.57057587934205,0.299997639874325
peopl,Good News for People Who Love Bad News,16,0.4,1.57057587934205,0.628230351736821
friend,Sad Sappy Sucker,3,0.157894736842105,3.4082149543208,0.538139203313811
australopithecu,Sad Sappy Sucker,2,1,3.4082149543208,3.4082149543208
johnni,Sad Sappy Sucker,2,1,3.4082149543208,3.4082149543208
fall,Sad Sappy Sucker,2,0.0666666666666667,3.4082149543208,0.227214330288053
hors,Sad Sappy Sucker,2,0.1,3.4082149543208,0.34082149543208
tight,Sad Sappy Sucker,2,0.222222222222222,3.4082149543208,0.757381100960178
line,Sad Sappy Sucker,2,0.0666666666666667,3.4082149543208,0.227214330288053
slack,Sad Sappy Sucker,2,1,3.4082149543208,3.4082149543208
race,Sad Sappy Sucker,2,0.666666666666667,3.4082149543208,2.27214330288053
car,Sad Sappy Sucker,2,0.0425531914893617,3.4082149543208,0.145030423588119
hei,Sad Sappy Sucker,2,0.0526315789473684,3.4082149543208,0.179379734437937
run,Sad Sappy Sucker,2,0.0869565217391304,3.4082149543208,0.296366517767026
lord,Sad Sappy Sucker,2,0.0769230769230769,3.4082149543208,0.2621703811016
hand,Sad Sappy Sucker,2,0.0714285714285714,3.4082149543208,0.243443925308629
um,Sad Sappy Sucker,2,1,3.4082149543208,3.4082149543208
call,Sad Sappy Sucker,2,0.0869565217391304,3.4082149543208,0.296366517767026
uh,Sad Sappy Sucker,2,0.0434782608695652,3.4082149543208,0.148183258883513
mind,Sad Sappy Sucker,2,0.0588235294117647,3.4082149543208,0.200483232607106
ooo,Strangers to Ourselves,35,1,1.33584057986406,1.33584057986406
ride,Strangers to Ourselves,28,0.651162790697675,1.33584057986406,0.86984967991148
brave,Strangers to Ourselves,27,1,1.33584057986406,1.33584057986406
dai,Strangers to Ourselves,22,0.282051282051282,1.33584057986406,0.376775548166786
time,Strangers to Ourselves,21,0.162790697674419,1.33584057986406,0.21746241997787
wait,Strangers to Ourselves,20,0.24390243902439,1.33584057986406,0.3258147755766
duh,Strangers to Ourselves,19,1,1.33584057986406,1.33584057986406
lai,Strangers to Ourselves,19,0.703703703703704,1.33584057986406,0.940035963608041
lord,Strangers to Ourselves,18,0.692307692307692,1.33584057986406,0.924812709136656
feel,Strangers to Ourselves,17,0.191011235955056,1.33584057986406,0.255160560198753
leavin,The Golden Casket,41,1,1.3793256918038,1.3793256918038
leav,The Golden Casket,32,0.666666666666667,1.3793256918038,0.919550461202532
da,The Golden Casket,31,0.775,1.3793256918038,1.06897741114794
plan,The Golden Casket,27,0.658536585365854,1.3793256918038,0.908336431187866
yeah,The Golden Casket,21,0.182608695652174,1.3793256918038,0.251876865459824
home,The Golden Casket,20,0.606060606060606,1.3793256918038,0.835954964729574
figur,The Golden Casket,20,0.625,1.3793256918038,0.862078557377373
set,The Golden Casket,19,0.730769230769231,1.3793256918038,1.0079687747797
gonna,The Golden Casket,19,0.165217391304348,1.3793256918038,0.227888592558888
light,The Golden Casket,19,0.431818181818182,1.3793256918038,0.595617912369822
nice,The Lonesome Crowded West,44,0.785714285714286,1.55059741241117,1.21832653832306
yeah,The Lonesome Crowded West,29,0.252173913043478,1.55059741241117,0.391020217042816
bleed,The Lonesome Crowded West,22,0.916666666666667,1.55059741241117,1.4213809613769
citi,The Lonesome Crowded West,21,0.65625,1.55059741241117,1.01757955189483
hang,The Lonesome Crowded West,20,0.833333333333333,1.55059741241117,1.29216451034264
road,The Lonesome Crowded West,19,0.527777777777778,1.55059741241117,0.818370856550338
drunk,The Lonesome Crowded West,19,0.826086956521739,1.55059741241117,1.28092829720922
ic,The Lonesome Crowded West,18,0.620689655172414,1.55059741241117,0.962439773220724
distanc,The Lonesome Crowded West,18,0.947368421052632,1.55059741241117,1.46898702228426
feel,The Lonesome Crowded West,17,0.191011235955056,1.55059741241117,0.296181528213369
god,The Lonesome Crowded West,17,0.265625,1.55059741241117,0.411877437671716
dai,The Lonesome Crowded West,17,0.217948717948718,1.55059741241117,0.337950718089613
life,The Moon & Antarctica,20,0.454545454545455,1.77099747777963,0.804998853536194
hei,The Moon & Antarctica,17,0.447368421052632,1.77099747777963,0.792288345322464
hard,The Moon & Antarctica,16,0.390243902439024,1.77099747777963,0.691120966938391
rememb,The Moon & Antarctica,16,0.4,1.77099747777963,0.70839899111185
gonna,The Moon & Antarctica,14,0.121739130434783,1.77099747777963,0.215599692947085
time,The Moon & Antarctica,14,0.108527131782946,1.77099747777963,0.192201276658254
weed,The Moon & Antarctica,14,0.777777777777778,1.77099747777963,1.37744248271749
world,The Moon & Antarctica,13,0.325,1.77099747777963,0.575574180278378
earth,The Moon & Antarctica,12,0.6,1.77099747777963,1.06259848666778
fall,The Moon & Antarctica,11,0.366666666666667,1.77099747777963,0.649365741852529
cold,The Moon & Antarctica,11,0.5,1.77099747777963,0.885498738889813
head,This Is a Long Drive for Someone with Nothing to Think About,41,0.546666666666667,1.6188056624377,0.884947095465943
south,This Is a Long Drive for Someone with Nothing to Think About,40,1,1.6188056624377,1.6188056624377
break,This Is a Long Drive for Someone with Nothing to Think About,15,0.652173913043478,1.6188056624377,1.05574282332894
ohio,This Is a Long Drive for Someone with Nothing to Think About,15,1,1.6188056624377,1.6188056624377
yeah,This Is a Long Drive for Someone with Nothing to Think About,14,0.121739130434783,1.6188056624377,0.197071993688068
feel,This Is a Long Drive for Someone with Nothing to Think About,12,0.134831460674157,1.6188056624377,0.218265932014072
light,This Is a Long Drive for Someone with Nothing to Think About,9,0.204545454545455,1.6188056624377,0.331119340044075
water,This Is a Long Drive for Someone with Nothing to Think About,8,0.266666666666667,1.6188056624377,0.431681509983387
mind,This Is a Long Drive for Someone with Nothing to Think About,7,0.205882352941176,1.6188056624377,0.333283518737174
swim,This Is a Long Drive for Someone with Nothing to Think About,7,0.4375,1.6188056624377,0.708227477316494
dog,This Is a Long Drive for Someone with Nothing to Think About,7,0.28,1.6188056624377,0.453265585482556
paddl,This Is a Long Drive for Someone with Nothing to Think About,7,1,1.6188056624377,1.6188056624377
wait,We Were Dead Before the Ship Even Sank,35,0.426829268292683,1.33053552763437,0.567911505697595
ha,We Were Dead Before the Ship Even Sank,34,0.829268292682927,1.33053552763437,1.10337092535533
gonna,We Were Dead Before the Ship Even Sank,22,0.191304347826087,1.33053552763437,0.254537231373531
stubborn,We Were Dead Before the Ship Even Sank,19,1,1.33053552763437,1.33053552763437
die,We Were Dead Before the Ship Even Sank,19,0.431818181818182,1.33053552763437,0.574549432387567
bad,We Were Dead Before the Ship Even Sank,17,0.425,1.33053552763437,0.565477599244605
beauti,We Were Dead Before the Ship Even Sank,17,0.894736842105263,1.33053552763437,1.19047915630443
venom,We Were Dead Before the Ship Even Sank,17,1,1.33053552763437,1.33053552763437
woo,We Were Dead Before the Ship Even Sank,17,0.772727272727273,1.33053552763437,1.02814108953565
hoo,We Were Dead Before the Ship Even Sank,17,1,1.33053552763437,1.33053552763437
